상품명,가격,쇼핑몰,좋아요개수,이미지,리뷰수,스타일,카테고리,소재,색상,시즌,출시일
슬림핏 가디건,"208,000",무신사,3028,https://example.com/무신사/image0.jpg,185,캐주얼,상의,린넨,베이지,가을,2025-03-11
프리미엄 청바지,"252,000",무신사,4474,https://example.com/무신사/image1.jpg,236,모던,아우터,데님,화이트,봄,2025-06-02
슬림핏 미니 원피스,"202,000",무신사,1261,https://example.com/무신사/image2.jpg,735,스포티,아우터,린넨,베이지,여름,2025-04-15
클래식 니트,"122,000",무신사,1305,https://example.com/무신사/image3.jpg,666,클래식,원피스,울,블루,겨울,2025-05-15
빈티지 코트,"144,000",무신사,3212,https://example.com/무신사/image4.jpg,65,모던,원피스,실크,베이지,겨울,2025-03-11
슬림핏 블레이저,"99,000",무신사,562,https://example.com/무신사/image5.jpg,827,스포티,아우터,폴리에스터,레드,가을,2025-05-23
베이직 미니 원피스,"174,000",무신사,2497,https://example.com/무신사/image6.jpg,267,미니멀,아우터,린넨,그레이,여름,2025-03-20
트렌디 청바지,"232,000",무신사,3728,https://example.com/무신사/image7.jpg,703,빈티지,아우터,폴리에스터,레드,가을,2025-05-02
트렌디 미디 원피스,"83,000",무신사,4777,https://example.com/무신사/image8.jpg,957,스포티,원피스,린넨,베이지,가을,2025-03-06
클래식 블라우스,"155,000",무신사,2319,https://example.com/무신사/image9.jpg,55,모던,원피스,데님,그레이,여름,2025-04-14
트렌디 셔츠,"119,000",무신사,2559,https://example.com/무신사/image10.jpg,672,스트릿,아우터,폴리에스터,블랙,여름,2025-04-18
프리미엄 와이드팬츠,"195,000",무신사,3885,https://example.com/무신사/image11.jpg,203,모던,상의,니트,브라운,사계절,2025-03-10
베이직 스커트,"148,000",무신사,1053,https://example.com/무신사/image12.jpg,669,스트릿,하의,폴리에스터,그레이,여름,2025-03-19
클래식 패딩,"136,000",무신사,4133,https://example.com/무신사/image13.jpg,839,클래식,하의,니트,네이비,겨울,2025-03-06
베이직 스커트,"131,000",무신사,4150,https://example.com/무신사/image14.jpg,987,빈티지,원피스,레이온,화이트,가을,2025-05-04
빈티지 면바지,"63,000",무신사,2716,https://example.com/무신사/image15.jpg,549,러블리,원피스,린넨,레드,겨울,2025-05-03
클래식 셔츠 원피스,"221,000",무신사,4646,https://example.com/무신사/image16.jpg,234,클래식,상의,폴리에스터,블랙,봄,2025-03-23
클래식 셔츠 원피스,"87,000",무신사,2611,https://example.com/무신사/image17.jpg,586,모던,아우터,니트,베이지,여름,2025-03-09
클래식 면바지,"290,000",무신사,4629,https://example.com/무신사/image18.jpg,819,클래식,원피스,실크,그레이,봄,2025-05-24
프리미엄 니트,"162,000",무신사,2422,https://example.com/무신사/image19.jpg,132,모던,원피스,면,브라운,봄,2025-05-06
베이직 자켓,"194,000",무신사,2873,https://example.com/무신사/image20.jpg,929,클래식,원피스,면,카키,여름,2025-04-07
베이직 셔츠,"66,000",무신사,3352,https://example.com/무신사/image21.jpg,854,빈티지,상의,린넨,블루,여름,2025-03-21
베이직 청바지,"47,000",무신사,3531,https://example.com/무신사/image22.jpg,936,빈티지,하의,울,그레이,봄,2025-04-04
오버핏 가디건,"259,000",무신사,3155,https://example.com/무신사/image23.jpg,993,러블리,원피스,린넨,블루,가을,2025-05-21
