상품명,가격,쇼핑몰,좋아요개수,이미지,리뷰수,스타일,카테고리,소재,색상,시즌,출시일
트렌디 후드,"275,000",29CM,2536,https://example.com/29cm/image0.jpg,911,스트릿,하의,폴리에스터,베이지,사계절,2025-04-13
클래식 가디건,"285,000",29CM,3913,https://example.com/29cm/image1.jpg,833,러블리,상의,면,블루,봄,2025-03-31
오버핏 와이드팬츠,"129,000",29CM,3761,https://example.com/29cm/image2.jpg,862,스포티,원피스,울,브라운,겨울,2025-04-17
프리미엄 미디 원피스,"74,000",29CM,3588,https://example.com/29cm/image3.jpg,276,빈티지,원피스,데님,블루,봄,2025-05-07
프리미엄 가디건,"346,000",29CM,1817,https://example.com/29cm/image4.jpg,251,모던,하의,니트,그레이,가을,2025-05-20
슬림핏 미니 원피스,"216,000",29CM,3528,https://example.com/29cm/image5.jpg,957,러블리,상의,실크,카키,가을,2025-04-22
트렌디 스커트,"252,000",29CM,3642,https://example.com/29cm/image6.jpg,996,클래식,상의,폴리에스터,블루,가을,2025-05-18
빈티지 미디 원피스,"75,000",29CM,941,https://example.com/29cm/image7.jpg,217,미니멀,원피스,레이온,브라운,가을,2025-05-30
오버핏 셔츠,"282,000",29CM,2594,https://example.com/29cm/image8.jpg,514,캐주얼,하의,린넨,화이트,봄,2025-03-31
슬림핏 스커트,"96,000",29CM,2282,https://example.com/29cm/image9.jpg,233,빈티지,상의,면,카키,봄,2025-03-06
트렌디 미니 원피스,"57,000",29CM,744,https://example.com/29cm/image10.jpg,436,미니멀,상의,폴리에스터,레드,여름,2025-05-09
프리미엄 니트,"277,000",29CM,3503,https://example.com/29cm/image11.jpg,91,스포티,상의,실크,브라운,사계절,2025-03-16
트렌디 청바지,"329,000",29CM,2588,https://example.com/29cm/image12.jpg,613,스포티,하의,데님,네이비,여름,2025-04-20
오버핏 슬랙스,"244,000",29CM,3075,https://example.com/29cm/image13.jpg,386,모던,하의,레이온,네이비,가을,2025-03-19
오버핏 티셔츠,"235,000",29CM,2878,https://example.com/29cm/image14.jpg,956,미니멀,하의,실크,그레이,여름,2025-05-17
슬림핏 면바지,"301,000",29CM,3808,https://example.com/29cm/image15.jpg,286,캐주얼,상의,폴리에스터,카키,가을,2025-04-26
빈티지 맥시 원피스,"134,000",29CM,3541,https://example.com/29cm/image16.jpg,464,스포티,하의,실크,네이비,봄,2025-05-25
오버핏 슬랙스,"242,000",29CM,1282,https://example.com/29cm/image17.jpg,416,클래식,상의,폴리에스터,베이지,봄,2025-03-16
프리미엄 맨투맨,"166,000",29CM,1037,https://example.com/29cm/image18.jpg,741,빈티지,원피스,실크,레드,사계절,2025-04-02
빈티지 니트,"117,000",29CM,1098,https://example.com/29cm/image19.jpg,588,빈티지,하의,면,화이트,여름,2025-05-25
베이직 블레이저,"201,000",29CM,2085,https://example.com/29cm/image20.jpg,823,러블리,원피스,폴리에스터,브라운,가을,2025-05-11
오버핏 와이드팬츠,"105,000",29CM,2432,https://example.com/29cm/image21.jpg,731,러블리,하의,린넨,블랙,가을,2025-03-16
빈티지 셔츠,"57,000",29CM,2557,https://example.com/29cm/image22.jpg,237,스포티,원피스,린넨,베이지,봄,2025-05-27
슬림핏 셔츠,"84,000",29CM,1647,https://example.com/29cm/image23.jpg,789,빈티지,아우터,린넨,카키,여름,2025-03-05
클래식 티셔츠,"278,000",29CM,612,https://example.com/29cm/image24.jpg,240,미니멀,상의,니트,블루,여름,2025-03-22
트렌디 맥시 원피스,"234,000",29CM,2109,https://example.com/29cm/image25.jpg,822,스트릿,하의,레이온,네이비,사계절,2025-04-17
트렌디 점퍼,"334,000",29CM,2704,https://example.com/29cm/image26.jpg,146,미니멀,원피스,폴리에스터,그레이,가을,2025-05-28
클래식 맥시 원피스,"330,000",29CM,568,https://example.com/29cm/image27.jpg,52,러블리,원피스,린넨,브라운,여름,2025-04-29
클래식 청바지,"305,000",29CM,1555,https://example.com/29cm/image28.jpg,958,빈티지,상의,레이온,브라운,여름,2025-04-13
클래식 미디 원피스,"232,000",29CM,2189,https://example.com/29cm/image29.jpg,772,미니멀,상의,실크,브라운,여름,2025-04-21
오버핏 티셔츠,"80,000",29CM,973,https://example.com/29cm/image30.jpg,667,러블리,하의,폴리에스터,화이트,봄,2025-04-26
트렌디 숏팬츠,"321,000",29CM,790,https://example.com/29cm/image31.jpg,532,스포티,하의,실크,블루,가을,2025-05-04
클래식 티셔츠,"203,000",29CM,678,https://example.com/29cm/image32.jpg,104,스포티,원피스,린넨,블랙,겨울,2025-05-01
트렌디 블라우스,"225,000",29CM,683,https://example.com/29cm/image33.jpg,727,모던,하의,니트,블랙,봄,2025-04-30
프리미엄 후드,"72,000",29CM,2495,https://example.com/29cm/image34.jpg,172,클래식,원피스,레이온,네이비,여름,2025-05-02
슬림핏 티셔츠,"107,000",29CM,1081,https://example.com/29cm/image35.jpg,964,모던,하의,니트,화이트,사계절,2025-05-22
오버핏 니트,"350,000",29CM,2982,https://example.com/29cm/image36.jpg,363,미니멀,아우터,레이온,화이트,가을,2025-03-13
슬림핏 면바지,"49,000",29CM,3213,https://example.com/29cm/image37.jpg,204,빈티지,하의,니트,화이트,가을,2025-05-25
클래식 면바지,"323,000",29CM,2034,https://example.com/29cm/image38.jpg,489,스트릿,하의,레이온,네이비,봄,2025-03-31
오버핏 미니 원피스,"227,000",29CM,1591,https://example.com/29cm/image39.jpg,877,스포티,원피스,니트,카키,겨울,2025-05-19
클래식 티셔츠,"323,000",29CM,3340,https://example.com/29cm/image40.jpg,402,모던,상의,폴리에스터,화이트,겨울,2025-04-13
프리미엄 맥시 원피스,"293,000",29CM,3832,https://example.com/29cm/image41.jpg,928,캐주얼,원피스,폴리에스터,화이트,겨울,2025-05-07
슬림핏 후드,"93,000",29CM,3857,https://example.com/29cm/image42.jpg,248,스포티,상의,데님,블루,겨울,2025-05-22
