상품명,가격,쇼핑몰,좋아요개수,이미지,리뷰수,스타일,카테고리,소재,색상,시즌,출시일
트렌디 숏팬츠,"51,000",지그재그,1501,https://example.com/지그재그/image0.jpg,873,스포티,아우터,울,그레이,봄,2025-05-30
프리미엄 셔츠 원피스,"32,000",지그재그,1921,https://example.com/지그재그/image1.jpg,365,캐주얼,아우터,면,카키,봄,2025-04-22
오버핏 패딩,"70,000",지그재그,917,https://example.com/지그재그/image2.jpg,538,러블리,하의,레이온,브라운,가을,2025-06-02
클래식 블라우스,"86,000",지그재그,1176,https://example.com/지그재그/image3.jpg,994,미니멀,원피스,면,브라운,봄,2025-03-31
프리미엄 셔츠,"37,000",지그재그,441,https://example.com/지그재그/image4.jpg,944,빈티지,상의,면,브라운,사계절,2025-04-03
클래식 맨투맨,"75,000",지그재그,1210,https://example.com/지그재그/image5.jpg,299,모던,상의,린넨,카키,가을,2025-05-31
오버핏 블레이저,"70,000",지그재그,1224,https://example.com/지그재그/image6.jpg,116,모던,하의,레이온,블랙,사계절,2025-04-06
슬림핏 후드,"26,000",지그재그,1978,https://example.com/지그재그/image7.jpg,828,클래식,상의,폴리에스터,그레이,봄,2025-05-01
프리미엄 티셔츠,"130,000",지그재그,1053,https://example.com/지그재그/image8.jpg,188,스트릿,상의,면,브라운,사계절,2025-03-06
프리미엄 맥시 원피스,"35,000",지그재그,1303,https://example.com/지그재그/image9.jpg,329,클래식,원피스,린넨,카키,여름,2025-03-30
오버핏 스커트,"138,000",지그재그,189,https://example.com/지그재그/image10.jpg,197,모던,원피스,울,카키,가을,2025-03-17
프리미엄 티셔츠,"77,000",지그재그,1404,https://example.com/지그재그/image11.jpg,457,미니멀,하의,데님,브라운,겨울,2025-03-08
클래식 셔츠 원피스,"40,000",지그재그,623,https://example.com/지그재그/image12.jpg,348,모던,상의,실크,베이지,가을,2025-03-12
클래식 미니 원피스,"146,000",지그재그,1389,https://example.com/지그재그/image13.jpg,883,클래식,원피스,면,레드,겨울,2025-03-29
클래식 블라우스,"141,000",지그재그,785,https://example.com/지그재그/image14.jpg,967,클래식,하의,니트,카키,겨울,2025-05-02
프리미엄 미디 원피스,"63,000",지그재그,910,https://example.com/지그재그/image15.jpg,227,미니멀,아우터,울,레드,봄,2025-04-13
베이직 청바지,"98,000",지그재그,1152,https://example.com/지그재그/image16.jpg,513,모던,하의,니트,베이지,겨울,2025-05-16
빈티지 미니 원피스,"55,000",지그재그,137,https://example.com/지그재그/image17.jpg,762,빈티지,아우터,니트,네이비,겨울,2025-03-08
프리미엄 니트,"90,000",지그재그,391,https://example.com/지그재그/image18.jpg,734,모던,상의,니트,레드,겨울,2025-03-12
빈티지 니트,"50,000",지그재그,747,https://example.com/지그재그/image19.jpg,338,러블리,원피스,레이온,레드,봄,2025-06-02
클래식 블라우스,"126,000",지그재그,731,https://example.com/지그재그/image20.jpg,690,캐주얼,하의,레이온,브라운,사계절,2025-04-09
클래식 슬랙스,"38,000",지그재그,1657,https://example.com/지그재그/image21.jpg,826,스포티,하의,실크,화이트,겨울,2025-03-08
트렌디 맥시 원피스,"148,000",지그재그,1511,https://example.com/지그재그/image22.jpg,973,모던,원피스,폴리에스터,그레이,여름,2025-05-27
오버핏 가디건,"34,000",지그재그,1297,https://example.com/지그재그/image23.jpg,99,빈티지,상의,실크,레드,가을,2025-05-21
슬림핏 니트,"68,000",지그재그,864,https://example.com/지그재그/image24.jpg,397,클래식,하의,울,네이비,사계절,2025-03-25
슬림핏 티셔츠,"124,000",지그재그,234,https://example.com/지그재그/image25.jpg,158,빈티지,아우터,레이온,블랙,봄,2025-03-22
클래식 숏팬츠,"55,000",지그재그,352,https://example.com/지그재그/image26.jpg,434,스트릿,아우터,레이온,브라운,가을,2025-05-30
트렌디 코트,"135,000",지그재그,1566,https://example.com/지그재그/image27.jpg,645,미니멀,하의,폴리에스터,네이비,가을,2025-04-21
클래식 셔츠 원피스,"86,000",지그재그,1750,https://example.com/지그재그/image28.jpg,228,스트릿,원피스,데님,네이비,여름,2025-05-14
슬림핏 맥시 원피스,"129,000",지그재그,652,https://example.com/지그재그/image29.jpg,480,스포티,아우터,니트,레드,사계절,2025-05-08
오버핏 청바지,"112,000",지그재그,1302,https://example.com/지그재그/image30.jpg,365,캐주얼,하의,폴리에스터,화이트,가을,2025-03-15
오버핏 청바지,"122,000",지그재그,135,https://example.com/지그재그/image31.jpg,97,클래식,원피스,니트,블랙,여름,2025-04-28
슬림핏 니트,"72,000",지그재그,1881,https://example.com/지그재그/image32.jpg,342,미니멀,아우터,폴리에스터,블랙,겨울,2025-04-15
빈티지 니트,"55,000",지그재그,901,https://example.com/지그재그/image33.jpg,620,스포티,아우터,면,화이트,겨울,2025-05-26
클래식 와이드팬츠,"57,000",지그재그,1083,https://example.com/지그재그/image34.jpg,297,러블리,상의,린넨,브라운,봄,2025-05-29
클래식 후드,"44,000",지그재그,1407,https://example.com/지그재그/image35.jpg,727,스포티,상의,니트,베이지,사계절,2025-04-18
트렌디 맥시 원피스,"75,000",지그재그,1715,https://example.com/지그재그/image36.jpg,297,빈티지,원피스,면,네이비,여름,2025-04-18
슬림핏 미니 원피스,"25,000",지그재그,1368,https://example.com/지그재그/image37.jpg,776,미니멀,원피스,폴리에스터,네이비,봄,2025-05-15
베이직 맨투맨,"97,000",지그재그,1859,https://example.com/지그재그/image38.jpg,212,미니멀,아우터,데님,카키,여름,2025-05-05
트렌디 점퍼,"80,000",지그재그,1360,https://example.com/지그재그/image39.jpg,942,모던,하의,울,카키,겨울,2025-05-24
